,Name,Address,Lat,Log
93,부천역점, 경기도 부천시 부천로4 2층 ,37.4844689723,126.7834919157
94,수원역점, 경기도 수원시 팔달구 매산로 11,37.2674445894,127.0027238204
95,마두역점, 경기도 고양시 일산동구 중앙로 1193 마두법조빌딩 1층 ,37.653093412,126.7766300932
96,평촌점, 경기도 안양시 동안구 시민대로327번길 6,37.3966479641,126.9669645028
97,분당정자점, 경기도 성남시 분당구 정자일로 227(정자동) 백궁지엔느주차전용빌딩 1층 ,37.3707100084,127.1056022078
98,판교알파돔시티점, 경기도 성남시 분당구 판교역로145(백현동) 판교알파돔 C2-3블럭 1층 ,37.3935331,127.1090926
99,범계역로데오점, 경기도 안양시 동안구 평촌대로 223번길 41(호계동 1045-9) 2층 ,37.3904948692,126.95352462143
100,이천하이닉스점, 경기 이천시 부발읍 하이닉스반도체 ,37.2501250,127.4834940
101,광교아브뉴프랑점, 경기도 수원시 영통구 이의동 1332 광교아브뉴프랑 1층 A122,37.2906734621,127.0505144269
102,현대프리미엄아울렛 김포점, 경기 김포시 고촌읍 전호리 654번지 현대프리미엄아울렛김포3층 618호 ,37.599411389,126.785627905
103,남양연구소PT동점, 경기도 화성시 장덕동 현대연구소로150 현대자동차남양연구소 PT동 1층 ,37.1593989989,126.8135266524
104,오리역애플플라자점, 경기도 성남시 분당구 탄천상로151번길20 월드쇼핑 B동 1층 ,37.341613046,127.1066899683
105,현대자동차구리점, 경기도 구리시 검배로3 현대자동차1층 ,37.6007140,127.1417200
106,현대자동차남양연구소C1식당점, 경기 화성시 장덕동 현대연구소로150 현대자동차남양연구소 C1구역식당1F ,37.163064,126.819721
107,일산원마운트점, 경기도 고양시 일산서구 한류월드로 300 원마운트스포츠몰 1층 ,37.664553197,126.7545264717
108,판교아브뉴프랑점, 경기도 성남시 분당구 동판교로177번길 25 ,37.3972828529,127.1135313808
109,수원인계점, 경기도 수원시 팔달구 권광로 195 학산빌딩1층  ,37.264912,127.032658
110,현대자동차남양연구소점, 경기도 화성시 장덕동 현대연구소로150 현대자동차남양연구소 설계1동1F ,37.156633,126.815236
111,일산킨텍스현대백화점점, 경기도 고양시 일산서구 대화동 2602 현대백화점킨텍스점 5F ,37.6679237282,126.7515004296
112,동탄라마다호텔점, 경기도 화성시 노작로 199 동탄라마다호텔107호~111호 ,37.205806,127.074671
113,분당수내점, 경기도 성남시 분당구 황새울로 214번길8 MSPlaza내1층 ,37.378102,127.112298
114,분당차병원점, 경기도 성남시 분당구 야탑동354 분당차병원신관1층분당차1호 ,37.410983,127.126350
115,분당플라자점, 경기도 성남시 분당구 황새울로 326 서현빌딩상가내2층 ,37.385095,127.121857
116,분당서현점, 경기도 성남시 분당구 분당로53번길 11 1층2,37.384031,127.121541
117,중동현대백화점U-PLEX점, 경기도 부천시 원미구 길주로 180 현대백화점 B1-120,37.504277,126.762025
118,일산웨스턴돔2호점, 경기도 고양시 일산동구 정발산로 24 웨스턴돔 A-303 ,37.6558956887,126.7720388187
119,일산웨스턴돔1호점, 경기도 고양시 일산동구 정발산로 24 I동103~203호 ,37.655701,126.771957
120,일산라페스타점, 경기도 고양시 일산동구 장항동 764 라페스타C동 ,37.6615687418,126.7685851841
121,영종도운서역점, 인천시 중구 신도시남로 142번길 6 (메가스타 영종 139,37.4934191556,126.4914913908
122,인천공항 제2여객터미널 입국점, 인천광역시 중구 운서동 2868 인천공항 제2터미널 1층 연번(23-124) ,37.4688250913,126.4260985935
123,송도트리플스트리트점,  인천 연수구 송도과학로 16번길 33-4 D동 119호,37.3786596951,126.662841635
124,송도홈플러스점, 인천광역시 연수구 송도국제대로 165(송도동) 홈플러스송도점1층 ,37.3801634,126.6559192
125,공항탑승동105gate앞점, 인천광역시 중구 공항로272 인천국제공항탑승동3층 FB-C5-68 ,37.4848160,126.4396160
126,공항탑승동130gate앞점, 인천광역시 중구 공항로272 인천국제공항탑승동3층 FB-C5-57 ,37.4848160,126.4396160
127,부평문화의거리점, 인천광역시 부평구 시장로29 1,37.4934845,126.7256878
128,인천구월동점, 인천광역시 남동구 예술로 138 지상1,37.446200,126.700997
129,원주AK플라자점, 강원도 원주시 봉화로1 AK플라자원주점 1층 ,37.3456791389,127.927643961
130,창원시티세븐점, 경남 창원시 의창구 원이대로 320 더시티세븐 1F Skycone 105호 ,35.2396660497,128.6544074678
131,진주LH본사점, 경상남도 진주시 충의로 19 LH진주사옥 홍보관1층 ,35.1780528,128.1456869
132,창원상남동점, 경남 창원시 성산구 중앙대로 104 마이우스오피스텔 123호 207호 ,35.223458,128.680805
133,경주미탐시티점, 경상북도 경주시 엑스포로80(천군동)1층 ,35.8364820,129.2937120
134,포항영일대점, 경상북도 포항시 북구 삼호로265번길1 NB-City복합시설1층104호 ,36.0615050,129.3796770
135,광주상무역점, 광주 서구 상무중앙로 9,35.147761350131006,126.84791678633364
136,대구중앙로점, 대구광역시 중구 중앙대로 412-18 ,35.869681,128.594826
137,대전탄방동점, 대전시 서구 문정로76 1층 ,36.346393,127.387685
138,대전둔산동점, 대전광역시 서구 둔산로26 소레빌딩 ,36.3516785075,127.3767524244
139,부산남포역점, 부산 중구 해관로 1 희남빌딩 1층 ,35.098976505723016,129.03568003367553
140,해운대센텀호텔점, 부산 해운대구 센텀3로 20 해운대센텀호텔 1F 101호 ,35.16781201369681,129.13281858796313
141,부산서면점, 부산 부산진구 서면로 62-1 에이스메디컬타워 1F ,35.1563058952,129.0580439206
142,부산서면서전로점, 부산광역시 부산진구 서전로 12,35.1575195317,129.0608660274
143,부산정관점, 부산광역시 기장군 정관로 563 1층,35.321914539,129.1756365309
144,부산수영역점, 부산광역시 수영구 수영로 667 1층 ,35.1653580842,129.1144807659
145,해운대점, 부산시 해운대구 해운대 해변로277 다옴빌딩1층 ,35.1598877814,129.1615586611
146,부산광복동점, 부산광역시 중구 창선동 2가 8-2 ,35.0994670342,129.0289990412
147,울산현대백화점점, 울산광역시 남구 삼산로 261 현대백화점5층 ,35.539587,129.335854
148,울산업스퀘어점, 울산광역시 남구 화합로 185 업스퀘어 1층 ,35.5413467705,129.3389018091
149,천안신부동점, 충남 천안시 동남구 만남로 48(신부동) ,36.818578,127.157377
150,고대세종캠퍼스점, 세종특별자치시 세종로 2511 고대세종캠퍼스호연학사4관1층 ,36.610712,127.288605
151,청주지웰시티점, 충북 청주시 흥덕구 대농로 17 지웰시티몰 1층 124-1,36.644033,127.424831
152,청주점, 충북 청주시 상당구 상당로69번길20 2~4층 ,36.635156,127.488938
